session_id,session_date,variant,device,channel,route_type,flight_selected,checkout_started,booking_completed,booking_revenue
S000001,2026-05-01,Control,Desktop,Paid Search,Domestic,0,0,0,0
S000002,2026-05-18,Treatment,Desktop,Organic Search,Domestic,1,1,0,0
S000003,2026-05-25,Control,Mobile,Organic Search,Domestic,1,0,0,0
S000004,2026-05-09,Treatment,Desktop,Direct,Domestic,1,1,0,0
S000005,2026-05-03,Control,Mobile,Direct,Domestic,0,0,0,0
S000006,2026-05-15,Treatment,Desktop,Organic Search,International,0,0,0,0
S000007,2026-05-02,Control,Mobile,Paid Search,Domestic,0,0,0,0
S000008,2026-05-20,Treatment,Mobile,Organic Search,Caribbean,1,1,0,0
S000009,2026-05-08,Control,Desktop,Paid Search,Domestic,0,0,0,0
S000010,2026-05-10,Treatment,Mobile,Organic Search,Domestic,1,1,0,0
S000011,2026-05-21,Control,Mobile,Organic Search,Domestic,1,1,1,164.56
S000012,2026-05-21,Treatment,Desktop,Paid Search,Domestic,1,0,0,0
S000013,2026-05-23,Control,Mobile,Email,Caribbean,0,0,0,0
S000014,2026-05-13,Treatment,Mobile,Direct,Domestic,1,1,1,447.67
S000015,2026-05-23,Control,Desktop,Direct,Domestic,0,0,0,0
S000016,2026-05-01,Treatment,Mobile,Direct,Domestic,1,1,0,0
S000017,2026-05-09,Control,Mobile,Organic Search,Caribbean,0,0,0,0
S000018,2026-05-17,Treatment,Mobile,Organic Search,International,1,1,1,454.4
S000019,2026-05-14,Control,Mobile,Paid Search,Domestic,1,1,0,0
S000020,2026-05-08,Treatment,Mobile,Email,International,0,0,0,0
S000021,2026-05-05,Control,Mobile,Email,Domestic,0,0,0,0
S000022,2026-05-20,Treatment,Desktop,Direct,International,0,0,0,0
S000023,2026-05-10,Control,Mobile,Organic Search,Domestic,0,0,0,0
S000024,2026-05-01,Treatment,Desktop,Direct,Domestic,1,1,0,0
S000025,2026-05-23,Control,Mobile,Direct,Domestic,1,0,0,0
S000026,2026-05-14,Treatment,Mobile,Email,Domestic,1,1,0,0
S000027,2026-05-25,Control,Desktop,Paid Search,Domestic,0,0,0,0
S000028,2026-05-28,Treatment,Tablet,Email,Domestic,0,0,0,0
S000029,2026-05-15,Control,Mobile,Direct,Domestic,1,1,0,0
S000030,2026-05-21,Treatment,Desktop,Organic Search,Domestic,0,0,0,0
S000031,2026-05-10,Control,Desktop,Paid Search,Caribbean,1,1,0,0
S000032,2026-05-13,Treatment,Mobile,Direct,Domestic,0,0,0,0
S000033,2026-05-27,Control,Desktop,Organic Search,Caribbean,0,0,0,0
S000034,2026-05-01,Treatment,Desktop,Direct,Caribbean,0,0,0,0
S000035,2026-05-16,Control,Mobile,Organic Search,Caribbean,1,0,0,0
S000036,2026-05-17,Treatment,Mobile,Organic Search,Domestic,1,1,0,0
S000037,2026-05-08,Control,Mobile,Organic Search,Domestic,0,0,0,0
S000038,2026-05-28,Treatment,Mobile,Direct,Domestic,1,1,1,236.51
S000039,2026-05-08,Control,Mobile,Direct,Caribbean,1,0,0,0
S000040,2026-05-02,Treatment,Mobile,Organic Search,Domestic,1,0,0,0
S000041,2026-05-10,Control,Desktop,Direct,Domestic,1,0,0,0
S000042,2026-05-26,Treatment,Desktop,Organic Search,Domestic,1,1,1,270.33
S000043,2026-05-19,Control,Desktop,Email,Domestic,1,1,0,0
S000044,2026-05-01,Treatment,Mobile,Direct,Domestic,0,0,0,0
S000045,2026-05-07,Control,Desktop,Paid Search,Domestic,0,0,0,0
S000046,2026-05-26,Treatment,Mobile,Organic Search,Domestic,0,0,0,0
S000047,2026-05-09,Control,Desktop,Organic Search,Domestic,0,0,0,0
S000048,2026-05-26,Treatment,Desktop,Direct,Caribbean,1,1,0,0
S000049,2026-05-22,Control,Desktop,Direct,Caribbean,1,0,0,0
S000050,2026-05-16,Treatment,Desktop,Direct,Caribbean,1,1,0,0
S000051,2026-05-09,Control,Desktop,Direct,International,0,0,0,0
S000052,2026-05-18,Treatment,Desktop,Organic Search,Domestic,1,1,0,0
S000053,2026-05-27,Control,Desktop,Email,Domestic,1,0,0,0
S000054,2026-05-06,Treatment,Desktop,Direct,Domestic,1,0,0,0
S000055,2026-05-15,Control,Mobile,Organic Search,International,0,0,0,0
S000056,2026-05-03,Treatment,Mobile,Direct,Domestic,1,1,0,0
S000057,2026-05-26,Control,Mobile,Organic Search,Caribbean,0,0,0,0
S000058,2026-05-10,Treatment,Desktop,Direct,Domestic,0,0,0,0
S000059,2026-05-03,Control,Desktop,Direct,Domestic,1,0,0,0
S000060,2026-05-22,Treatment,Mobile,Paid Search,Domestic,0,0,0,0
S000061,2026-05-22,Control,Desktop,Direct,International,1,0,0,0
S000062,2026-05-25,Treatment,Mobile,Organic Search,Domestic,1,0,0,0
S000063,2026-05-08,Control,Mobile,Paid Search,Caribbean,0,0,0,0
S000064,2026-05-21,Treatment,Mobile,Paid Search,International,1,0,0,0
S000065,2026-05-26,Control,Mobile,Direct,Domestic,1,0,0,0
S000066,2026-05-06,Treatment,Desktop,Direct,Domestic,0,0,0,0
S000067,2026-05-02,Control,Mobile,Direct,Domestic,1,1,0,0
S000068,2026-05-11,Treatment,Mobile,Email,Caribbean,0,0,0,0
S000069,2026-05-24,Control,Mobile,Organic Search,Domestic,1,0,0,0
S000070,2026-05-09,Treatment,Tablet,Paid Search,Domestic,0,0,0,0
S000071,2026-05-19,Control,Mobile,Organic Search,International,0,0,0,0
S000072,2026-05-07,Treatment,Desktop,Organic Search,Caribbean,1,1,0,0
S000073,2026-05-22,Control,Mobile,Direct,Domestic,0,0,0,0
S000074,2026-05-10,Treatment,Desktop,Direct,Domestic,0,0,0,0
S000075,2026-05-02,Control,Desktop,Direct,Domestic,0,0,0,0
S000076,2026-05-15,Treatment,Mobile,Paid Search,Domestic,0,0,0,0
S000077,2026-05-23,Control,Desktop,Direct,Caribbean,0,0,0,0
S000078,2026-05-26,Treatment,Desktop,Email,Domestic,0,0,0,0
S000079,2026-05-28,Control,Mobile,Organic Search,Domestic,1,1,0,0
S000080,2026-05-04,Treatment,Mobile,Direct,Caribbean,1,1,1,219.02
S000081,2026-05-04,Control,Desktop,Direct,Domestic,1,0,0,0
S000082,2026-05-27,Treatment,Desktop,Organic Search,Domestic,0,0,0,0
S000083,2026-05-25,Control,Desktop,Organic Search,Domestic,0,0,0,0
S000084,2026-05-27,Treatment,Mobile,Paid Search,Domestic,1,0,0,0
S000085,2026-05-09,Control,Mobile,Organic Search,Domestic,1,1,0,0
S000086,2026-05-13,Treatment,Desktop,Organic Search,Caribbean,0,0,0,0
S000087,2026-05-26,Control,Desktop,Organic Search,Domestic,1,1,1,247.57
S000088,2026-05-26,Treatment,Desktop,Direct,Domestic,1,1,0,0
S000089,2026-05-10,Control,Tablet,Direct,Domestic,1,0,0,0
S000090,2026-05-26,Treatment,Mobile,Email,Caribbean,0,0,0,0
S000091,2026-05-26,Control,Desktop,Organic Search,International,0,0,0,0
S000092,2026-05-10,Treatment,Desktop,Direct,Caribbean,1,0,0,0
S000093,2026-05-23,Control,Mobile,Paid Search,Caribbean,0,0,0,0
S000094,2026-05-11,Treatment,Mobile,Paid Search,Domestic,1,0,0,0
S000095,2026-05-06,Control,Mobile,Direct,Caribbean,0,0,0,0
S000096,2026-05-19,Treatment,Mobile,Direct,Domestic,1,1,0,0
S000097,2026-05-15,Control,Mobile,Paid Search,Domestic,1,1,0,0
S000098,2026-05-28,Treatment,Desktop,Direct,Caribbean,1,0,0,0
S000099,2026-05-09,Control,Mobile,Organic Search,Domestic,1,1,1,419.85
S000100,2026-05-27,Treatment,Desktop,Direct,Domestic,1,0,0,0
S000101,2026-05-20,Control,Mobile,Direct,International,1,1,0,0
S000102,2026-05-20,Treatment,Mobile,Organic Search,Domestic,1,0,0,0
S000103,2026-05-24,Control,Mobile,Organic Search,Domestic,0,0,0,0
S000104,2026-05-27,Treatment,Mobile,Direct,Domestic,0,0,0,0
S000105,2026-05-10,Control,Desktop,Organic Search,Domestic,1,1,0,0
S000106,2026-05-14,Treatment,Desktop,Direct,Caribbean,0,0,0,0
S000107,2026-05-14,Control,Desktop,Organic Search,Domestic,1,1,1,380.58
S000108,2026-05-01,Treatment,Mobile,Organic Search,Domestic,1,1,0,0
S000109,2026-05-03,Control,Desktop,Email,Caribbean,1,1,0,0
S000110,2026-05-23,Treatment,Mobile,Email,Domestic,0,0,0,0
S000111,2026-05-17,Control,Desktop,Direct,Domestic,0,0,0,0
S000112,2026-05-15,Treatment,Mobile,Paid Search,Domestic,1,1,1,209.14
S000113,2026-05-13,Control,Desktop,Email,Caribbean,0,0,0,0
S000114,2026-05-17,Treatment,Desktop,Direct,Domestic,1,1,1,245.26
S000115,2026-05-19,Control,Mobile,Organic Search,Domestic,0,0,0,0
S000116,2026-05-04,Treatment,Desktop,Organic Search,Domestic,0,0,0,0
S000117,2026-05-14,Control,Mobile,Direct,Domestic,0,0,0,0
S000118,2026-05-27,Treatment,Desktop,Organic Search,Domestic,0,0,0,0
S000119,2026-05-25,Control,Mobile,Paid Search,Domestic,1,0,0,0
S000120,2026-05-19,Treatment,Mobile,Organic Search,Domestic,0,0,0,0
S000121,2026-05-15,Control,Mobile,Email,Caribbean,1,1,0,0
S000122,2026-05-19,Treatment,Mobile,Email,Domestic,1,1,0,0
S000123,2026-05-19,Control,Mobile,Organic Search,Domestic,1,1,0,0
S000124,2026-05-08,Treatment,Desktop,Direct,Domestic,1,1,0,0
S000125,2026-05-17,Control,Mobile,Email,Caribbean,1,0,0,0
S000126,2026-05-05,Treatment,Mobile,Direct,Caribbean,1,1,0,0
S000127,2026-05-09,Control,Tablet,Direct,Domestic,0,0,0,0
S000128,2026-05-05,Treatment,Desktop,Organic Search,Caribbean,0,0,0,0
S000129,2026-05-24,Control,Desktop,Organic Search,International,0,0,0,0
S000130,2026-05-01,Treatment,Mobile,Direct,Domestic,1,0,0,0
S000131,2026-05-25,Control,Mobile,Email,Domestic,1,0,0,0
S000132,2026-05-13,Treatment,Mobile,Direct,Domestic,0,0,0,0
S000133,2026-05-05,Control,Desktop,Organic Search,Domestic,1,1,0,0
S000134,2026-05-14,Treatment,Mobile,Organic Search,Domestic,0,0,0,0
S000135,2026-05-14,Control,Desktop,Paid Search,Domestic,0,0,0,0
S000136,2026-05-27,Treatment,Mobile,Paid Search,Domestic,1,1,0,0
S000137,2026-05-06,Control,Tablet,Organic Search,Domestic,1,1,0,0
S000138,2026-05-28,Treatment,Desktop,Direct,Domestic,0,0,0,0
S000139,2026-05-01,Control,Mobile,Email,Domestic,1,0,0,0
S000140,2026-05-20,Treatment,Mobile,Direct,Domestic,1,1,1,311.2
S000141,2026-05-12,Control,Desktop,Organic Search,Caribbean,1,0,0,0
S000142,2026-05-19,Treatment,Mobile,Organic Search,Caribbean,1,0,0,0
S000143,2026-05-23,Control,Desktop,Organic Search,Domestic,1,1,0,0
S000144,2026-05-14,Treatment,Desktop,Paid Search,Domestic,1,1,0,0
S000145,2026-05-01,Control,Mobile,Direct,Domestic,1,0,0,0
S000146,2026-05-04,Treatment,Mobile,Email,Domestic,0,0,0,0
S000147,2026-05-24,Control,Tablet,Direct,Caribbean,1,1,0,0
S000148,2026-05-17,Treatment,Mobile,Email,Domestic,0,0,0,0
S000149,2026-05-02,Control,Desktop,Paid Search,Caribbean,0,0,0,0
S000150,2026-05-20,Treatment,Mobile,Paid Search,Domestic,0,0,0,0
S000151,2026-05-24,Control,Mobile,Organic Search,Domestic,0,0,0,0
S000152,2026-05-13,Treatment,Mobile,Organic Search,Caribbean,1,0,0,0
S000153,2026-05-19,Control,Mobile,Direct,Domestic,0,0,0,0
S000154,2026-05-06,Treatment,Desktop,Direct,Domestic,1,0,0,0
S000155,2026-05-26,Control,Desktop,Direct,Domestic,0,0,0,0
S000156,2026-05-15,Treatment,Desktop,Organic Search,Domestic,1,1,0,0
S000157,2026-05-17,Control,Desktop,Direct,Domestic,0,0,0,0
S000158,2026-05-15,Treatment,Mobile,Organic Search,Domestic,1,0,0,0
S000159,2026-05-27,Control,Mobile,Direct,Domestic,0,0,0,0
S000160,2026-05-06,Treatment,Mobile,Email,Domestic,0,0,0,0
S000161,2026-05-04,Control,Tablet,Email,Caribbean,0,0,0,0
S000162,2026-05-10,Treatment,Mobile,Paid Search,Domestic,0,0,0,0
