route,flight_month,passengers,seats,departures,load_factor
BOS-DCA,2022-01-01,11579,38824,387,0.29824335462600454
BOS-DCA,2022-02-01,19834,39500,395,0.5021265822784811
BOS-DCA,2022-03-01,26914,45362,453,0.5933159913584057
BOS-DCA,2022-04-01,29251,37162,371,0.7871212528927399
BOS-DCA,2022-05-01,34177,44659,445,0.7652880718332251
BOS-DCA,2022-06-01,35989,43862,437,0.8205052209201587
BOS-DCA,2022-07-01,35373,45262,452,0.7815165039105652
BOS-DCA,2022-08-01,36183,45200,452,0.8005088495575221
BOS-DCA,2022-09-01,34740,44362,443,0.7831026554258149
BOS-DCA,2022-10-01,35700,46812,467,0.7626249679569341
BOS-DCA,2022-11-01,34002,42500,425,0.8000470588235294
BOS-DCA,2022-12-01,25938,37962,379,0.6832622095779991
BOS-DCA,2023-01-01,22511,44300,443,0.5081489841986456
BOS-DCA,2023-02-01,24670,41212,410,0.5986120547413375
BOS-DCA,2023-03-01,33380,45700,457,0.7304157549234136
BOS-DCA,2023-04-01,35930,41900,419,0.8575178997613365
BOS-DCA,2023-05-01,35252,41521,412,0.8490161604970978
BOS-DCA,2023-06-01,30313,33250,330,0.9116691729323309
BOS-DCA,2023-07-01,25194,27509,272,0.915845723217856
BOS-DCA,2023-08-01,26310,29721,296,0.8852326637730897
BOS-DCA,2023-09-01,24113,27221,270,0.8858234451342714
BOS-DCA,2023-10-01,28506,31050,310,0.9180676328502415
BOS-DCA,2023-11-01,26617,29400,294,0.9053401360544218
BOS-DCA,2023-12-01,21485,25362,253,0.8471335068212286
BOS-DCA,2024-01-01,20255,29600,296,0.6842905405405405
BOS-DCA,2024-02-01,25338,32800,328,0.7725
BOS-DCA,2024-03-01,31574,37400,374,0.8442245989304813
BOS-DCA,2024-04-01,28387,31562,314,0.8994043469995564
BOS-DCA,2024-05-01,31461,36402,363,0.8642656996868304
BOS-DCA,2024-06-01,27501,31280,310,0.8791879795396419
BOS-DCA,2024-07-01,26836,30900,309,0.8684789644012945
BOS-DCA,2024-08-01,25090,28800,288,0.8711805555555555
BOS-DCA,2024-09-01,26603,31800,318,0.8365723270440252
BOS-DCA,2024-10-01,30256,33800,338,0.8951479289940828
BOS-DCA,2024-11-01,22864,26702,266,0.8562654482810277
BOS-DCA,2024-12-01,21683,25104,246,0.8637268961121733
BOS-DCA,2025-01-01,18669,24300,243,0.7682716049382716
BOS-DCA,2025-02-01,18694,25039,248,0.7465953113143496
BOS-DCA,2025-03-01,24158,30868,305,0.7826227808733964
BOS-DCA,2025-04-01,18664,22719,225,0.8215150314714557
BOS-DCA,2025-05-01,21740,26140,249,0.8316755929609794
BOS-DCA,2025-06-01,18935,22182,209,0.8536200522946533
BOS-DCA,2025-07-01,16692,19180,181,0.870281543274244
BOS-DCA,2025-08-01,17484,21039,195,0.831028090688721
BOS-DCA,2025-09-01,21885,28920,210,0.7567427385892116
BOS-DCA,2025-10-01,22845,28140,201,0.8118336886993603
BOS-DCA,2025-11-01,21655,27827,198,0.778201027778776
BOS-DCA,2025-12-01,21934,29320,209,0.7480900409276944
