transit_timestamp,station_complex_id,station_complex,borough,ridership
2026-06-01T00:00:00.000,447,Flushing-Main St (7),Queens,213.0
2026-06-01T00:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,729.0
2026-06-01T00:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,405.0
2026-06-01T00:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,1626.0
2026-06-01T00:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,353.0
2026-06-01T01:00:00.000,447,Flushing-Main St (7),Queens,138.0
2026-06-01T01:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,268.0
2026-06-01T01:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,152.0
2026-06-01T01:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,684.0
2026-06-01T01:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,202.0
2026-06-01T02:00:00.000,447,Flushing-Main St (7),Queens,85.0
2026-06-01T02:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,152.0
2026-06-01T02:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,93.0
2026-06-01T02:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,337.0
2026-06-01T02:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,123.0
2026-06-01T03:00:00.000,447,Flushing-Main St (7),Queens,114.0
2026-06-01T03:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,96.0
2026-06-01T03:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,47.0
2026-06-01T03:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,235.0
2026-06-01T03:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,143.0
2026-06-01T04:00:00.000,447,Flushing-Main St (7),Queens,416.0
2026-06-01T04:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,105.0
2026-06-01T04:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,63.0
2026-06-01T04:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,372.0
2026-06-01T04:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,464.0
2026-06-01T05:00:00.000,447,Flushing-Main St (7),Queens,1645.0
2026-06-01T05:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,377.0
2026-06-01T05:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,938.0
2026-06-01T05:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,2769.0
2026-06-01T05:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,1514.0
2026-06-01T06:00:00.000,447,Flushing-Main St (7),Queens,3444.0
2026-06-01T06:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,1173.0
2026-06-01T06:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,2961.0
2026-06-01T06:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,6860.0
2026-06-01T06:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,2869.0
2026-06-01T07:00:00.000,447,Flushing-Main St (7),Queens,5217.0
2026-06-01T07:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,3390.0
2026-06-01T07:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,7520.0
2026-06-01T07:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,10088.0
2026-06-01T07:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,5328.0
2026-06-01T08:00:00.000,447,Flushing-Main St (7),Queens,4930.0
2026-06-01T08:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,5350.0
2026-06-01T08:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,10997.0
2026-06-01T08:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,12891.0
2026-06-01T08:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,5524.0
2026-06-01T09:00:00.000,447,Flushing-Main St (7),Queens,3065.0
2026-06-01T09:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,4468.0
2026-06-01T09:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,6854.0
2026-06-01T09:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,8839.0
2026-06-01T09:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,3430.0
2026-06-01T10:00:00.000,447,Flushing-Main St (7),Queens,2184.0
2026-06-01T10:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,2678.0
2026-06-01T10:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,4264.0
2026-06-01T10:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,5566.0
2026-06-01T10:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,2720.0
2026-06-01T11:00:00.000,447,Flushing-Main St (7),Queens,1844.0
2026-06-01T11:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,2707.0
2026-06-01T11:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,3714.0
2026-06-01T11:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,5068.0
2026-06-01T11:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,1939.0
2026-06-01T12:00:00.000,447,Flushing-Main St (7),Queens,1948.0
2026-06-01T12:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,2956.0
2026-06-01T12:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,4164.0
2026-06-01T12:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,4909.0
2026-06-01T12:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,1934.0
2026-06-01T13:00:00.000,447,Flushing-Main St (7),Queens,2090.0
2026-06-01T13:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,3556.0
2026-06-01T13:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,4244.0
2026-06-01T13:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,5148.0
2026-06-01T13:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,2234.0
2026-06-01T14:00:00.000,447,Flushing-Main St (7),Queens,2478.0
2026-06-01T14:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,3965.0
2026-06-01T14:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,5587.0
2026-06-01T14:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,6258.0
2026-06-01T14:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,2527.0
2026-06-01T15:00:00.000,447,Flushing-Main St (7),Queens,2756.0
2026-06-01T15:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,5192.0
2026-06-01T15:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,7156.0
2026-06-01T15:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,7176.0
2026-06-01T15:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,2773.0
2026-06-01T16:00:00.000,447,Flushing-Main St (7),Queens,2565.0
2026-06-01T16:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,6897.0
2026-06-01T16:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,10092.0
2026-06-01T16:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,9846.0
2026-06-01T16:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,2662.0
2026-06-01T17:00:00.000,447,Flushing-Main St (7),Queens,3006.0
2026-06-01T17:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,11469.0
2026-06-01T17:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,17949.0
2026-06-01T17:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,15341.0
2026-06-01T17:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,2477.0
2026-06-01T18:00:00.000,447,Flushing-Main St (7),Queens,2370.0
2026-06-01T18:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,8543.0
2026-06-01T18:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,12928.0
2026-06-01T18:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,11896.0
2026-06-01T18:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,2126.0
2026-06-01T19:00:00.000,447,Flushing-Main St (7),Queens,1475.0
2026-06-01T19:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,5589.0
2026-06-01T19:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,7352.0
2026-06-01T19:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,7288.0
2026-06-01T19:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,1767.0
2026-06-01T20:00:00.000,447,Flushing-Main St (7),Queens,1366.0
2026-06-01T20:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,4447.0
2026-06-01T20:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,4227.0
2026-06-01T20:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,5764.0
2026-06-01T20:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,1398.0
2026-06-01T21:00:00.000,447,Flushing-Main St (7),Queens,1204.0
2026-06-01T21:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,3422.0
2026-06-01T21:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,2904.0
2026-06-01T21:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,5669.0
2026-06-01T21:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,1181.0
2026-06-01T22:00:00.000,447,Flushing-Main St (7),Queens,819.0
2026-06-01T22:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,2766.0
2026-06-01T22:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,2195.0
2026-06-01T22:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,4342.0
2026-06-01T22:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,831.0
2026-06-01T23:00:00.000,447,Flushing-Main St (7),Queens,386.0
2026-06-01T23:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,1780.0
2026-06-01T23:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,1358.0
2026-06-01T23:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,3079.0
2026-06-01T23:00:00.000,616,"Jackson Hts-Roosevelt Av/74 St-Broadway (7,E,F,M,R)",Queens,484.0
2026-06-02T00:00:00.000,447,Flushing-Main St (7),Queens,228.0
2026-06-02T00:00:00.000,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,837.0
2026-06-02T00:00:00.000,610,"Grand Central-42 St (4,5,6,7,S)",Manhattan,921.0
2026-06-02T00:00:00.000,611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,1806.0
